Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
1983-84,22.0,CLE,NBA,F-C,80.0,61.0,23.2,2.3,4.6,0.496,0.0,0.0,,2.3,4.6,0.496,0.496,0.9,1.5,0.59,2.2,4.1,6.2,0.9,0.4,1.8,1.4,3.8,5.5,Roy Hinson,6-9
1984-85,23.0,CLE,NBA,F-C,76.0,75.0,30.8,6.1,12.2,0.503,0.0,0.0,0.0,6.1,12.1,0.504,0.503,3.6,4.9,0.721,2.4,5.4,7.8,0.9,0.7,2.3,2.3,4.1,15.8,Roy Hinson,6-9
1985-86,24.0,CLE,NBA,F-C,82.0,82.0,34.6,7.6,14.2,0.532,0.0,0.0,0.0,7.6,14.2,0.534,0.532,4.4,6.2,0.719,2.0,5.8,7.8,1.2,0.8,1.4,2.3,3.9,19.6,Roy Hinson,6-9
1986-87,25.0,PHI,NBA,F-C,76.0,58.0,32.8,5.2,10.8,0.478,0.0,0.0,0.0,5.2,10.8,0.478,0.478,3.6,4.7,0.758,2.0,4.4,6.4,0.8,0.6,2.1,2.0,3.7,13.9,Roy Hinson,6-9
1987-88,26.0,TOT,NBA,F-C,77.0,57.0,33.7,5.9,12.1,0.487,0.0,0.0,0.0,5.9,12.1,0.488,0.487,3.5,4.6,0.775,2.1,4.6,6.7,1.3,0.9,1.8,2.2,3.6,15.3,Roy Hinson,6-9
1988-89,27.0,NJN,NBA,F-C,82.0,39.0,31.0,6.0,12.5,0.482,0.0,0.0,0.0,6.0,12.5,0.483,0.482,3.9,5.1,0.757,1.9,4.5,6.4,0.9,0.4,1.5,2.0,3.6,16.0,Roy Hinson,6-9
1989-90,28.0,NJN,NBA,F-C,25.0,19.0,31.7,5.8,11.4,0.507,0.0,0.0,,5.8,11.4,0.507,0.507,3.4,4.0,0.869,2.4,4.4,6.9,0.9,0.6,1.1,2.1,3.5,15.0,Roy Hinson,6-9
1990-91,29.0,NJN,NBA,F-C,9.0,0.0,10.1,2.2,4.3,0.513,0.0,0.0,,2.2,4.3,0.513,0.513,0.1,0.3,0.333,0.7,1.4,2.1,0.4,0.0,0.3,0.7,1.6,4.6,Roy Hinson,6-9
