Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1963-64,22.0,SFW,NBA,C-F,76.0,,25.9,2.9,7.3,0.395,1.3,2.3,0.549,,,10.4,1.1,,,2.4,7.0,Nate Thurmond,6-11
1964-65,23.0,SFW,NBA,C-F,77.0,,41.2,6.7,16.1,0.419,3.1,4.6,0.658,,,18.1,2.0,,,3.0,16.5,Nate Thurmond,6-11
1965-66,24.0,SFW,NBA,C-F,73.0,,39.6,6.2,15.3,0.406,3.8,5.9,0.654,,,18.0,1.5,,,3.1,16.3,Nate Thurmond,6-11
1966-67,25.0,SFW,NBA,C-F,65.0,,42.5,7.2,16.4,0.437,4.3,6.8,0.629,,,21.3,2.6,,,2.8,18.7,Nate Thurmond,6-11
1967-68,26.0,SFW,NBA,C-F,51.0,,43.6,7.5,18.2,0.411,5.5,8.6,0.644,,,22.0,4.2,,,2.7,20.5,Nate Thurmond,6-11
1968-69,27.0,SFW,NBA,C-F,71.0,,45.2,8.0,19.6,0.41,5.4,8.7,0.615,,,19.7,3.6,,,2.4,21.5,Nate Thurmond,6-11
1969-70,28.0,SFW,NBA,C-F,43.0,,44.6,7.9,19.2,0.414,6.1,8.0,0.754,,,17.7,3.5,,,2.6,21.9,Nate Thurmond,6-11
1970-71,29.0,SFW,NBA,C-F,82.0,,40.9,7.6,17.1,0.445,4.8,6.6,0.73,,,13.8,3.1,,,2.3,20.0,Nate Thurmond,6-11
1971-72,30.0,GSW,NBA,C-F,78.0,,43.1,8.1,18.6,0.432,5.3,7.2,0.743,,,16.1,2.9,,,2.7,21.4,Nate Thurmond,6-11
1972-73,31.0,GSW,NBA,C-F,79.0,,43.3,6.5,14.7,0.446,4.0,5.6,0.718,,,17.1,3.5,,,3.0,17.1,Nate Thurmond,6-11
1973-74,32.0,GSW,NBA,C-F,62.0,,39.7,5.0,11.2,0.444,3.1,4.6,0.666,4.0,10.1,14.2,2.7,0.7,2.9,2.9,13.0,Nate Thurmond,6-11
1974-75,33.0,CHI,NBA,C-F,80.0,,34.5,3.1,8.6,0.364,1.7,2.8,0.589,3.2,8.1,11.3,4.1,0.6,2.4,3.4,7.9,Nate Thurmond,6-11
1975-76,34.0,TOT,NBA,C-F,78.0,,17.9,1.8,4.3,0.421,0.8,1.6,0.504,1.5,3.8,5.3,1.2,0.3,1.3,2.1,4.4,Nate Thurmond,6-11
1976-77,35.0,CLE,NBA,C-F,49.0,,20.3,2.0,5.0,0.407,1.4,2.2,0.642,2.5,5.2,7.6,1.7,0.3,1.7,2.6,5.5,Nate Thurmond,6-11
