Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015-16,19.0,LAL,NBA,PG,80.0,48.0,28.2,4.9,12.0,0.41,1.6,4.6,0.351,3.3,7.3,0.447,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
2016-17,20.0,LAL,NBA,PG,63.0,60.0,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,3.0,0.782,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6
2017-18,21.0,BRK,NBA,PG,48.0,35.0,25.7,5.8,14.0,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2.0,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5
2018-19,22.0,BRK,NBA,PG,81.0,81.0,30.2,8.1,18.7,0.434,2.9,7.8,0.369,5.2,10.9,0.482,0.512,2.0,2.5,0.78,0.7,3.2,3.9,7.0,1.2,0.2,3.1,1.7,21.1
2019-20,23.0,TOT,NBA,PG,45.0,45.0,32.3,8.0,18.8,0.426,3.5,9.6,0.367,4.5,9.2,0.487,0.519,3.6,4.4,0.809,0.4,3.6,3.9,6.3,1.1,0.3,3.3,1.9,23.1
2019-20,23.0,GSW,NBA,PG,33.0,33.0,32.1,8.3,19.2,0.43,3.6,9.7,0.374,4.6,9.5,0.487,0.524,3.4,4.4,0.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
2019-20,23.0,MIN,NBA,PG,12.0,12.0,32.7,7.3,17.6,0.412,3.2,9.2,0.345,4.1,8.4,0.485,0.502,4.0,4.6,0.873,0.3,4.3,4.6,6.6,1.4,0.3,3.8,1.8,21.7
2020-21,24.0,MIN,NBA,PG,42.0,26.0,28.5,6.7,15.5,0.431,2.9,7.4,0.387,3.8,8.1,0.471,0.523,2.7,3.5,0.765,0.4,2.3,2.6,5.8,1.1,0.4,2.7,1.6,19.0
2021-22,25.0,MIN,NBA,PG,65.0,65.0,32.0,6.2,15.0,0.411,2.7,8.0,0.34,3.5,7.0,0.492,0.502,3.0,3.7,0.825,0.4,2.9,3.3,7.1,1.0,0.3,2.5,2.0,18.1
2022-23,26.0,TOT,NBA,PG,65.0,65.0,32.5,6.3,13.5,0.466,2.7,7.0,0.391,3.6,6.5,0.546,0.567,2.7,3.2,0.849,0.5,2.6,3.1,6.2,1.0,0.4,2.6,2.0,18.0
2022-23,26.0,MIN,NBA,PG,54.0,54.0,32.9,6.3,13.5,0.465,2.7,7.0,0.391,3.5,6.4,0.546,0.567,2.6,3.1,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9
2022-23,26.0,LAL,NBA,PG,11.0,11.0,30.5,6.5,13.9,0.471,2.7,6.9,0.395,3.8,7.0,0.545,0.569,2.8,3.5,0.816,0.5,2.6,3.1,6.4,0.6,0.6,2.2,1.4,18.6
Career,,,NBA,,489.0,425.0,29.8,6.4,15.1,0.425,2.5,6.9,0.361,3.9,8.1,0.48,0.508,2.4,3.1,0.79,0.5,3.0,3.5,5.7,1.1,0.3,2.8,1.9,17.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIN,NBA,,173.0,157.0,31.5,6.4,14.8,0.432,2.8,7.6,0.366,3.6,7.2,0.501,0.526,2.9,3.5,0.823,0.4,2.7,3.2,6.5,1.1,0.4,2.7,1.9,18.5
3 seasons,,LAL,NBA,,154.0,119.0,28.6,5.3,12.8,0.412,1.9,5.4,0.355,3.4,7.4,0.454,0.487,2.1,2.7,0.764,0.5,2.9,3.4,4.1,1.2,0.2,2.6,1.9,14.6
2 seasons,,BRK,NBA,,129.0,116.0,28.5,7.3,17.0,0.428,2.5,7.1,0.355,4.8,9.9,0.48,0.502,2.0,2.6,0.765,0.6,3.3,3.9,6.3,1.1,0.3,3.1,1.8,19.0
1 season,,GSW,NBA,,33.0,33.0,32.1,8.3,19.2,0.43,3.6,9.7,0.374,4.6,9.5,0.487,0.524,3.4,4.4,0.785,0.4,3.3,3.7,6.2,0.9,0.3,3.1,1.9,23.6
