Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,23.0,BRK,NBA,C,70.0,22.0,18.2,2.8,4.3,0.659,0.0,0.0,0.0,2.8,4.3,0.666,0.659,1.7,2.8,0.626,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,7.4
2014-15,24.0,BRK,NBA,C,82.0,45.0,21.3,3.4,6.0,0.573,0.0,0.0,0.0,3.4,5.9,0.576,0.573,1.9,3.9,0.495,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7
2015-16,25.0,POR,NBA,C,82.0,82.0,25.4,3.3,6.3,0.516,0.0,0.0,0.0,3.3,6.3,0.52,0.516,2.6,4.1,0.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1
2016-17,26.0,TOT,NBA,C,81.0,64.0,26.5,4.1,7.7,0.536,0.0,0.1,0.0,4.1,7.6,0.541,0.536,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4
2016-17,26.0,POR,NBA,C,54.0,54.0,28.1,4.4,8.2,0.532,0.0,0.1,0.0,4.4,8.1,0.538,0.532,2.4,4.1,0.567,2.2,5.8,8.0,4.0,0.9,1.2,1.6,2.8,11.1
2016-17,26.0,DEN,NBA,C,27.0,10.0,23.4,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.55,0.547,1.7,2.8,0.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1
2017-18,27.0,DEN,NBA,C,74.0,26.0,19.4,3.0,5.0,0.601,0.0,0.0,0.0,3.0,5.0,0.602,0.601,1.1,2.4,0.458,1.8,3.6,5.4,1.9,0.7,1.1,1.4,2.5,7.1
2018-19,28.0,DEN,NBA,C,82.0,17.0,21.1,3.2,5.4,0.593,0.0,0.1,0.2,3.2,5.3,0.602,0.595,1.4,2.4,0.561,2.0,4.4,6.4,3.0,0.8,0.9,1.5,3.1,7.8
2019-20,29.0,DEN,NBA,C,61.0,1.0,17.3,2.9,4.7,0.615,0.0,0.1,0.0,2.9,4.6,0.625,0.615,1.4,2.5,0.535,1.6,3.6,5.2,2.5,0.5,0.6,1.3,2.3,7.2
2020-21,30.0,DET,NBA,C,56.0,56.0,26.8,4.2,6.8,0.614,0.0,0.1,0.0,4.2,6.7,0.626,0.614,2.0,3.0,0.669,2.6,6.7,9.3,3.6,0.8,0.9,1.9,3.3,10.4
2021-22,31.0,CHO,NBA,C,73.0,73.0,24.6,2.8,4.4,0.641,0.0,0.0,0.0,2.8,4.4,0.645,0.641,0.9,2.3,0.392,2.4,5.3,7.7,3.1,0.8,0.7,1.4,3.1,6.5
2022-23,32.0,TOT,NBA,C,72.0,60.0,26.7,4.3,6.3,0.676,0.0,0.0,,4.3,6.3,0.676,0.676,2.7,4.3,0.631,3.0,6.3,9.3,3.2,0.6,0.6,1.5,2.7,11.2
2022-23,32.0,CHO,NBA,C,56.0,56.0,28.5,4.7,7.1,0.669,0.0,0.0,,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2
2022-23,32.0,LAC,NBA,C,16.0,4.0,20.5,2.6,3.6,0.724,0.0,0.0,,2.6,3.6,0.724,0.724,2.4,3.1,0.76,1.9,6.3,8.1,1.7,0.6,0.6,1.4,2.3,7.6
Career,,,NBA,,733.0,446.0,22.8,3.4,5.7,0.594,0.0,0.1,0.049,3.4,5.7,0.6,0.594,1.8,3.2,0.566,2.2,4.7,6.9,2.5,0.7,0.9,1.5,2.8,8.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DEN,NBA,,244.0,54.0,19.9,3.1,5.2,0.593,0.0,0.1,0.118,3.1,5.2,0.6,0.594,1.3,2.5,0.531,1.8,4.0,5.8,2.5,0.7,0.9,1.5,2.7,7.6
2 seasons,,BRK,NBA,,152.0,67.0,19.9,3.2,5.2,0.606,0.0,0.0,0.0,3.2,5.2,0.61,0.606,1.8,3.4,0.545,1.8,3.6,5.4,0.9,0.8,0.8,1.2,2.5,8.1
2 seasons,,POR,NBA,,136.0,136.0,26.5,3.7,7.1,0.523,0.0,0.1,0.0,3.7,7.0,0.528,0.523,2.5,4.1,0.612,2.4,5.4,7.8,3.2,0.9,1.1,1.8,3.0,9.9
2 seasons,,CHO,NBA,,129.0,129.0,26.3,3.6,5.6,0.656,0.0,0.0,0.0,3.6,5.5,0.658,0.656,1.7,3.3,0.52,2.8,5.8,8.6,3.3,0.7,0.7,1.4,3.0,9.0
1 season,,DET,NBA,,56.0,56.0,26.8,4.2,6.8,0.614,0.0,0.1,0.0,4.2,6.7,0.626,0.614,2.0,3.0,0.669,2.6,6.7,9.3,3.6,0.8,0.9,1.9,3.3,10.4
1 season,,LAC,NBA,,16.0,4.0,20.5,2.6,3.6,0.724,0.0,0.0,,2.6,3.6,0.724,0.724,2.4,3.1,0.76,1.9,6.3,8.1,1.7,0.6,0.6,1.4,2.3,7.6
