Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Ht
2011-12,20.0,SAS,NBA,F,64,39,24.0,3.1,6.3,.493,0.6,1.7,.376,2.5,4.6,.536,.543,1.1,1.4,.773,1.6,3.5,5.1,1.1,1.3,0.4,0.7,1.4,7.9,Kawhi Leonard,6-7
2012-13,21.0,SAS,NBA,F,58,57,31.2,4.5,9.1,.494,1.1,3.0,.374,3.4,6.1,.554,.556,1.8,2.2,.825,1.1,4.9,6.0,1.6,1.7,0.6,1.1,1.7,11.9,Kawhi Leonard,6-7
2013-14,22.0,SAS,NBA,F,66,65,29.1,5.1,9.8,.522,1.0,2.8,.379,4.1,7.0,.579,.576,1.5,1.9,.802,1.2,5.1,6.2,2.0,1.7,0.8,1.2,1.9,12.8,Kawhi Leonard,6-7
2014-15,23.0,SAS,NBA,F,64,64,31.8,6.2,12.8,.479,1.0,3.0,.349,5.1,9.8,.519,.520,3.2,3.9,.802,1.3,5.9,7.2,2.5,2.3,0.8,1.5,2.0,16.5,Kawhi Leonard,6-7
2015-16,24.0,SAS,NBA,F,72,72,33.1,7.7,15.1,.506,1.8,4.0,.443,5.9,11.1,.528,.565,4.1,4.6,.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2,Kawhi Leonard,6-7
2016-17,25.0,SAS,NBA,F,74,74,33.4,8.6,17.7,.485,2.0,5.2,.380,6.6,12.5,.529,.541,6.3,7.2,.880,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,Kawhi Leonard,6-7
2017-18,26.0,SAS,NBA,F,9,9,23.3,5.8,12.3,.468,1.2,3.9,.314,4.6,8.4,.539,.518,3.4,4.2,.816,0.7,4.0,4.7,2.3,2.0,1.0,1.8,1.0,16.2,Kawhi Leonard,6-7
2018-19,27.0,TOR,NBA,F,60,60,34.0,9.3,18.8,.496,1.9,5.0,.371,7.5,13.8,.542,.546,6.1,7.1,.854,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,26.6,Kawhi Leonard,6-7
2019-20,28.0,LAC,NBA,F,57,57,32.4,9.3,19.9,.470,2.2,5.7,.378,7.2,14.2,.506,.524,6.2,7.1,.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,Kawhi Leonard,6-7
2020-21,29.0,LAC,NBA,F,52,52,34.1,8.9,17.5,.512,1.9,4.9,.398,7.0,12.6,.557,.568,5.0,5.7,.885,1.1,5.4,6.5,5.2,1.6,0.4,2.0,1.6,24.8,Kawhi Leonard,6-7
2022-23,31.0,LAC,NBA,F,46,44,33.6,8.5,16.7,.512,1.9,4.7,.409,6.6,12.0,.552,.569,4.7,5.4,.867,1.2,5.2,6.3,3.9,1.5,0.5,1.7,1.6,23.7,Kawhi Leonard,6-7
