Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988-89,26.0,TOT,NBA,SG,32.0,0.0,19.3,3.1,6.6,0.467,0.1,0.5,0.2,3.0,6.2,0.487,0.474,0.6,0.8,0.692,0.3,1.2,1.5,3.7,0.8,0.1,1.7,2.5,6.8
1988-89,26.0,MIA,NBA,SG,9.0,0.0,16.0,2.9,7.0,0.413,0.1,0.6,0.2,2.8,6.4,0.431,0.421,0.4,0.7,0.667,0.4,1.0,1.4,2.2,0.8,0.0,1.4,2.0,6.3
1988-89,26.0,BOS,NBA,SG,23.0,0.0,20.6,3.2,6.5,0.49,0.1,0.4,0.2,3.1,6.0,0.511,0.497,0.6,0.9,0.7,0.3,1.3,1.6,4.2,0.8,0.1,1.8,2.7,7.0
1989-90,27.0,TOT,NBA,SG,40.0,0.0,9.7,1.6,3.7,0.438,0.1,0.4,0.267,1.5,3.3,0.458,0.452,0.7,0.9,0.757,0.2,0.8,1.0,1.4,0.7,0.0,0.7,1.3,4.0
1989-90,27.0,BOS,NBA,SG,14.0,0.0,9.4,0.9,2.8,0.308,0.1,0.4,0.4,0.7,2.4,0.294,0.333,0.3,0.4,0.667,0.2,0.7,0.9,2.0,0.1,0.1,0.9,1.4,2.1
1989-90,27.0,DAL,NBA,SG,3.0,0.0,1.3,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,0.5,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
1989-90,27.0,GSW,NBA,SG,23.0,0.0,11.0,2.2,4.5,0.49,0.1,0.4,0.222,2.1,4.1,0.516,0.5,1.0,1.3,0.774,0.3,1.0,1.2,1.1,1.1,0.0,0.7,1.5,5.6
1990-91,28.0,DAL,NBA,SG,48.0,1.0,10.7,2.2,4.8,0.45,0.1,0.6,0.241,2.0,4.2,0.48,0.465,1.1,1.3,0.859,0.4,0.7,1.1,1.8,0.6,0.1,0.8,1.6,5.6
Career,,,NBA,,120.0,1.0,12.7,2.2,4.9,0.453,0.1,0.5,0.237,2.1,4.4,0.477,0.465,0.8,1.1,0.795,0.3,0.9,1.2,2.1,0.7,0.1,1.0,1.8,5.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DAL,NBA,,51.0,1.0,10.2,2.1,4.6,0.449,0.1,0.6,0.233,1.9,4.0,0.48,0.464,1.1,1.3,0.859,0.4,0.7,1.1,1.7,0.5,0.1,0.8,1.5,5.3
2 seasons,,BOS,NBA,,37.0,0.0,16.3,2.3,5.1,0.452,0.1,0.4,0.267,2.2,4.7,0.468,0.463,0.5,0.7,0.692,0.2,1.1,1.3,3.4,0.6,0.1,1.5,2.2,5.2
1 season,,GSW,NBA,,23.0,0.0,11.0,2.2,4.5,0.49,0.1,0.4,0.222,2.1,4.1,0.516,0.5,1.0,1.3,0.774,0.3,1.0,1.2,1.1,1.1,0.0,0.7,1.5,5.6
1 season,,MIA,NBA,,9.0,0.0,16.0,2.9,7.0,0.413,0.1,0.6,0.2,2.8,6.4,0.431,0.421,0.4,0.7,0.667,0.4,1.0,1.4,2.2,0.8,0.0,1.4,2.0,6.3
