Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1947-48,25.0,PRO,BAA,,25.0,,,3.8,15.0,0.253,2.5,4.2,0.606,,0.6,2.5,10.1
1948-49,26.0,TOT,BAA,,56.0,,,2.3,7.3,0.314,1.9,2.9,0.681,,1.2,1.8,6.5
1948-49,26.0,PRO,BAA,,11.0,,,1.5,6.6,0.219,1.9,2.3,0.84,,1.0,1.2,4.8
1948-49,26.0,BLB,BAA,,27.0,,,1.6,5.5,0.295,1.4,2.0,0.709,,1.0,1.3,4.7
1948-49,26.0,BOS,BAA,,18.0,,,3.8,10.3,0.368,2.7,4.4,0.613,,1.6,2.7,10.3
1949-50,27.0,TOT,NBA,,54.0,,,2.6,9.0,0.294,2.4,3.4,0.694,,1.6,2.6,7.6
1949-50,27.0,BLB,NBA,,38.0,,,2.8,9.2,0.305,2.4,3.5,0.697,,1.7,2.6,8.1
1949-50,27.0,BOS,NBA,,16.0,,,2.3,8.5,0.265,2.2,3.2,0.686,,1.4,2.4,6.7
Career,,,TOT,,135.0,,,2.7,9.4,0.288,2.2,3.3,0.669,,1.3,2.2,7.6
,,,BAA,,81.0,,,2.8,9.7,0.285,2.1,3.3,0.652,,1.0,2.0,7.6
,,,NBA,,54.0,,,2.6,9.0,0.294,2.4,3.4,0.694,,1.6,2.6,7.6
,,,,,,,,,,,,,,,,,
2 seasons,,BLB,BAA,,65.0,,,2.3,7.7,0.302,2.0,2.9,0.701,,1.4,2.1,6.7
2 seasons,,PRO,BAA,,36.0,,,3.1,12.5,0.247,2.3,3.6,0.651,,0.8,2.1,8.5
2 seasons,,BOS,BAA,,34.0,,,3.1,9.4,0.324,2.5,3.9,0.641,,1.5,2.6,8.6
