Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,23.0,PHW,NBA,PF,68.0,,23.1,2.5,6.7,0.367,1.0,1.5,0.644,6.4,0.9,3.0,5.9
1954-55,24.0,PHW,NBA,C,61.0,,12.6,1.1,3.0,0.385,0.6,0.8,0.729,3.4,0.6,1.6,2.9
1955-56,25.0,PHW,NBA,PF,70.0,,15.7,1.8,4.8,0.369,1.1,1.6,0.688,3.9,0.8,3.3,4.6
1956-57,26.0,PHW,NBA,PF,65.0,,19.2,2.7,6.7,0.407,1.1,1.6,0.698,4.7,0.8,3.6,6.6
1957-58,27.0,TOT,NBA,PF,61.0,,10.9,1.4,4.0,0.348,1.0,1.3,0.744,2.9,0.5,2.3,3.8
1957-58,27.0,PHW,NBA,PF,35.0,,10.7,1.3,3.7,0.341,0.5,0.7,0.667,2.5,0.5,2.3,3.0
1957-58,27.0,STL,NBA,PF,26.0,,11.0,1.6,4.4,0.357,1.7,2.2,0.776,3.3,0.4,2.4,4.9
Career,,,NBA,,325.0,,16.4,1.9,5.1,0.377,1.0,1.4,0.695,4.3,0.7,2.8,4.8
,,,,,,,,,,,,,,,,,
5 seasons,,PHW,NBA,,299.0,,16.9,1.9,5.1,0.379,0.9,1.3,0.683,4.4,0.7,2.9,4.8
1 season,,STL,NBA,,26.0,,11.0,1.6,4.4,0.357,1.7,2.2,0.776,3.3,0.4,2.4,4.9
