Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Player,Ht
1967-68,24.0,KEN,ABA,C,1.0,,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,1.0,0.0,0.0,2.0,0.0,George Sutor,6-8
1968-69,25.0,MNP,ABA,C,64.0,,13.8,2.2,6.2,0.35,0.0,0.0,,2.2,6.2,0.35,0.35,1.1,1.8,0.623,2.7,2.7,5.4,0.4,0.9,2.7,5.5,George Sutor,6-8
1969-70,26.0,TOT,ABA,C,14.0,,10.5,0.9,3.3,0.261,0.0,0.1,0.0,0.9,3.2,0.267,0.261,0.5,1.2,0.412,1.6,2.3,3.9,0.2,0.8,2.2,2.2,George Sutor,6-8
