Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1962-63,23.0,STL,NBA,F-C,27.0,,13.9,2.4,5.9,0.413,1.2,1.9,0.627,,,5.3,0.9,,,2.1,6.1,Bill Bridges,6-6
1963-64,24.0,STL,NBA,F-C,80.0,,24.4,3.4,8.4,0.397,1.8,2.8,0.652,,,8.5,2.3,,,3.4,8.5,Bill Bridges,6-6
1964-65,25.0,STL,NBA,F-C,79.0,,29.9,4.6,11.9,0.386,2.4,3.5,0.676,,,10.8,2.4,,,3.5,11.5,Bill Bridges,6-6
1965-66,26.0,STL,NBA,F-C,78.0,,34.3,4.8,11.9,0.407,3.3,4.7,0.706,,,12.2,2.7,,,4.3,13.0,Bill Bridges,6-6
1966-67,27.0,STL,NBA,F-C,79.0,,39.6,6.4,14.0,0.455,4.6,6.6,0.702,,,15.1,2.8,,,4.1,17.4,Bill Bridges,6-6
1967-68,28.0,STL,NBA,F-C,82.0,,39.0,5.7,12.3,0.462,4.2,5.9,0.717,,,13.4,3.1,,,4.5,15.6,Bill Bridges,6-6
1968-69,29.0,ATL,NBA,F-C,80.0,,36.6,4.4,9.7,0.453,3.0,4.4,0.677,,,14.2,3.7,,,3.6,11.8,Bill Bridges,6-6
1969-70,30.0,ATL,NBA,F-C,82.0,,39.9,5.4,11.4,0.475,4.0,5.5,0.734,,,14.4,4.2,,,3.6,14.8,Bill Bridges,6-6
1970-71,31.0,ATL,NBA,F-C,82.0,,38.3,4.7,10.2,0.458,2.6,4.0,0.639,,,15.0,2.9,,,3.9,11.9,Bill Bridges,6-6
1971-72,32.0,TOT,NBA,F-C,78.0,,35.3,4.9,10.0,0.487,2.8,4.1,0.703,,,13.5,2.5,,,3.4,12.6,Bill Bridges,6-6
1972-73,33.0,TOT,NBA,F-C,82.0,,35.0,4.1,8.8,0.461,2.2,3.1,0.702,,,11.0,2.7,,,3.6,10.3,Bill Bridges,6-6
1973-74,34.0,LAL,NBA,F-C,65.0,,27.9,3.3,7.9,0.421,1.8,2.5,0.707,3.0,4.7,7.7,2.3,0.9,0.5,3.4,8.4,Bill Bridges,6-6
1974-75,35.0,TOT,NBA,F-C,32.0,,13.0,1.1,2.9,0.376,0.5,1.1,0.5,2.0,2.2,4.2,1.0,0.3,0.2,2.0,2.7,Bill Bridges,6-6
