Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1955-56,21.0,ROC,NBA,SF,72,,30.4,5.8,13.7,0.422,2.8,4.1,0.685,6.5,2.4,3.3,14.4
1956-57,22.0,ROC,NBA,SG,72,,32.5,6.2,14.2,0.439,3.8,5.0,0.76,4.9,1.7,3.5,16.3
1957-58,23.0,CIN,NBA,SF,72,,30.3,6.5,14.3,0.452,4.3,5.5,0.775,6.4,1.5,3.1,17.2
1958-59,24.0,CIN,NBA,SF,72,,37.7,9.9,23.5,0.42,6.1,7.8,0.783,9.1,2.9,3.8,25.8
1959-60,25.0,CIN,NBA,SF,75,,40.3,11.6,27.5,0.422,8.0,10.2,0.785,8.9,3.5,3.7,31.2
1960-61,26.0,CIN,NBA,SF,79,,37.0,10.1,20.7,0.488,5.1,7.0,0.731,8.5,2.8,3.5,25.3
1961-62,27.0,CIN,NBA,SF,80,,37.4,9.2,19.3,0.479,4.4,5.4,0.811,8.0,2.7,4.0,22.9
1962-63,28.0,CIN,NBA,SF,80,,32.8,8.0,16.7,0.48,3.8,4.7,0.811,7.5,2.7,3.6,19.8
1963-64,29.0,CIN,NBA,SF,68,,29.4,6.6,14.6,0.45,2.8,3.4,0.829,5.4,2.0,3.9,15.9
1964-65,30.0,CIN,NBA,SF,80,,28.0,6.0,13.5,0.443,2.5,3.0,0.828,4.8,1.7,3.0,14.5
1965-66,31.0,CIN,NBA,SF,73,,12.9,3.1,6.8,0.45,1.3,1.6,0.812,2.3,0.8,1.7,7.4
Career,,,NBA,,823,,31.8,7.6,16.9,0.45,4.1,5.3,0.778,6.6,2.3,3.4,19.2
