Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,25.0,TOT,ABA,SG,73.0,,39.1,8.7,20.5,0.422,0.0,0.2,0.067,8.7,20.3,0.426,0.422,6.2,7.8,0.797,,,5.4,3.4,3.8,2.9,23.5
1967-68,25.0,OAK,ABA,SG,42.0,,42.1,10.0,23.4,0.428,0.0,0.3,0.083,10.0,23.1,0.433,0.429,6.8,8.7,0.779,,,6.5,3.5,4.6,2.9,26.9
1967-68,25.0,NJA,ABA,SG,31.0,,35.0,6.8,16.7,0.41,0.0,0.1,0.0,6.8,16.6,0.412,0.41,5.3,6.4,0.829,,,3.9,3.3,2.6,2.9,19.0
1968-69,26.0,TOT,ABA,SG,61.0,,23.0,4.5,10.6,0.422,0.0,0.0,0.0,4.5,10.6,0.424,0.422,3.2,4.2,0.757,1.6,1.6,3.2,2.3,2.4,2.3,12.1
1968-69,26.0,NYA,ABA,SG,35.0,,26.3,5.4,12.2,0.445,0.0,0.0,0.0,5.4,12.2,0.446,0.445,3.8,4.9,0.782,1.9,1.7,3.7,2.5,2.5,2.4,14.7
1968-69,26.0,HSM,ABA,SG,6.0,,23.0,4.7,10.5,0.444,0.0,0.0,,4.7,10.5,0.444,0.444,3.0,4.8,0.621,1.2,1.5,2.7,2.0,3.2,2.7,12.3
1968-69,26.0,DNR,ABA,SG,20.0,,17.3,2.8,8.0,0.352,0.0,0.1,0.0,2.8,7.9,0.357,0.352,2.1,2.8,0.75,1.3,1.3,2.6,2.2,2.1,2.0,7.7
1969-70,27.0,NYA,ABA,SG,80.0,,40.1,9.5,19.1,0.495,0.1,0.4,0.314,9.3,18.7,0.499,0.498,5.2,6.6,0.783,3.2,3.7,6.8,3.3,3.1,3.4,24.2
1970-71,28.0,TOT,ABA,SG,60.0,,30.1,6.0,14.4,0.414,0.2,0.6,0.294,5.8,13.8,0.419,0.42,3.3,4.2,0.783,1.7,2.3,4.0,2.9,2.8,2.9,15.4
1970-71,28.0,NYA,ABA,SG,27.0,,36.5,7.1,16.8,0.424,0.1,0.3,0.444,7.0,16.4,0.423,0.428,3.8,4.9,0.767,1.9,2.0,3.9,2.7,3.2,3.1,18.1
1970-71,28.0,TEX,ABA,SG,33.0,,24.9,5.0,12.4,0.403,0.2,0.8,0.24,4.8,11.6,0.414,0.411,2.9,3.6,0.8,1.5,2.5,4.0,3.1,2.4,2.6,13.1
Career,,,ABA,,274.0,,33.8,7.4,16.6,0.445,0.1,0.3,0.253,7.3,16.2,0.449,0.447,4.6,5.8,0.784,2.3,2.6,5.0,3.0,3.1,2.9,19.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,"NJA,NYA",ABA,,173.0,,35.8,7.8,16.9,0.462,0.1,0.3,0.313,7.7,16.6,0.464,0.464,4.7,5.9,0.79,2.6,2.9,5.2,3.0,2.9,3.0,20.4
1 season,,OAK,ABA,,42.0,,42.1,10.0,23.4,0.428,0.0,0.3,0.083,10.0,23.1,0.433,0.429,6.8,8.7,0.779,,,6.5,3.5,4.6,2.9,26.9
1 season,,TEX,ABA,,33.0,,24.9,5.0,12.4,0.403,0.2,0.8,0.24,4.8,11.6,0.414,0.411,2.9,3.6,0.8,1.5,2.5,4.0,3.1,2.4,2.6,13.1
1 season,,DNR,ABA,,20.0,,17.3,2.8,8.0,0.352,0.0,0.1,0.0,2.8,7.9,0.357,0.352,2.1,2.8,0.75,1.3,1.3,2.6,2.2,2.1,2.0,7.7
1 season,,HSM,ABA,,6.0,,23.0,4.7,10.5,0.444,0.0,0.0,,4.7,10.5,0.444,0.444,3.0,4.8,0.621,1.2,1.5,2.7,2.0,3.2,2.7,12.3
