Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,28.0,TOT,BAA,,60.0,,,3.4,12.9,0.263,3.3,4.4,0.741,,2.9,4.1,10.0
1948-49,28.0,FTW,BAA,,22.0,,,2.5,9.8,0.259,2.4,3.3,0.712,,1.6,3.6,7.5
1948-49,28.0,INJ,BAA,,38.0,,,3.9,14.6,0.265,3.8,5.0,0.753,,3.6,4.3,11.5
1949-50,29.0,BLB,NBA,,68.0,,,3.3,10.0,0.327,2.3,3.0,0.757,,2.1,3.6,8.8
Career,,,TOT,,128.0,,,3.3,11.3,0.293,2.7,3.6,0.748,,2.4,3.8,9.4
,,,NBA,,68.0,,,3.3,10.0,0.327,2.3,3.0,0.757,,2.1,3.6,8.8
,,,BAA,,60.0,,,3.4,12.9,0.263,3.3,4.4,0.741,,2.9,4.1,10.0
,,,,,,,,,,,,,,,,,
1 season,,BLB,NBA,,68.0,,,3.3,10.0,0.327,2.3,3.0,0.757,,2.1,3.6,8.8
1 season,,INJ,BAA,,38.0,,,3.9,14.6,0.265,3.8,5.0,0.753,,3.6,4.3,11.5
1 season,,FTW,BAA,,22.0,,,2.5,9.8,0.259,2.4,3.3,0.712,,1.6,3.6,7.5
