Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,23.0,MEM,NBA,PG,39.0,3.0,14.8,1.4,4.7,0.303,0.9,2.6,0.333,0.6,2.1,0.265,0.395,0.7,0.8,0.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4
2019-20,24.0,PHO,NBA,PG,58.0,2.0,16.3,1.7,4.2,0.416,1.1,2.5,0.425,0.7,1.7,0.402,0.543,0.4,0.5,0.852,0.5,1.5,2.0,1.4,0.8,0.3,0.6,1.5,4.9
2020-21,25.0,PHO,NBA,PG,60.0,1.0,12.0,1.6,3.7,0.422,0.9,2.5,0.371,0.6,1.2,0.528,0.547,0.1,0.1,0.571,0.3,1.3,1.5,1.2,0.5,0.2,0.3,0.9,4.1
2021-22,26.0,TOT,NBA,PG,66.0,3.0,13.7,1.5,3.8,0.387,1.0,2.6,0.388,0.5,1.3,0.386,0.518,0.2,0.3,0.833,0.2,1.5,1.7,1.5,0.4,0.2,0.5,1.0,4.2
2021-22,26.0,BRK,NBA,PG,46.0,1.0,12.0,1.3,3.8,0.333,0.9,2.8,0.331,0.3,1.0,0.34,0.454,0.2,0.2,0.7,0.2,1.3,1.5,1.0,0.3,0.2,0.6,1.0,3.6
2021-22,26.0,MIL,NBA,PG,20.0,2.0,17.7,2.0,4.0,0.506,1.2,2.2,0.558,0.8,1.8,0.444,0.658,0.4,0.4,1.0,0.3,1.9,2.2,2.5,0.5,0.2,0.4,1.1,5.6
2022-23,27.0,MIL,NBA,PG,74.0,35.0,22.1,2.9,6.9,0.424,1.7,4.0,0.414,1.2,2.8,0.438,0.545,0.4,0.5,0.806,0.4,2.1,2.6,2.4,0.9,0.4,1.0,2.0,7.9
Career,,,NBA,,297.0,44.0,16.1,1.9,4.8,0.4,1.1,2.9,0.394,0.8,1.8,0.409,0.521,0.3,0.4,0.808,0.4,1.6,1.9,1.7,0.6,0.3,0.6,1.4,5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,118.0,3.0,14.1,1.7,3.9,0.418,1.0,2.5,0.397,0.7,1.4,0.456,0.545,0.2,0.3,0.794,0.4,1.4,1.8,1.3,0.6,0.2,0.4,1.2,4.5
2 seasons,,MIL,NBA,,94.0,37.0,21.1,2.7,6.2,0.435,1.6,3.6,0.432,1.1,2.6,0.439,0.561,0.4,0.5,0.841,0.4,2.1,2.5,2.4,0.8,0.3,0.9,1.8,7.4
1 season,,BRK,NBA,,46.0,1.0,12.0,1.3,3.8,0.333,0.9,2.8,0.331,0.3,1.0,0.34,0.454,0.2,0.2,0.7,0.2,1.3,1.5,1.0,0.3,0.2,0.6,1.0,3.6
1 season,,MEM,NBA,,39.0,3.0,14.8,1.4,4.7,0.303,0.9,2.6,0.333,0.6,2.1,0.265,0.395,0.7,0.8,0.813,0.4,1.3,1.7,1.8,0.7,0.3,0.8,1.4,4.4
