Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23.0,KEN,ABA,SF,48.0,,9.5,1.4,4.2,0.337,0.1,0.3,0.308,1.3,3.9,0.339,0.347,1.1,1.5,0.75,0.6,0.9,1.5,0.8,,0.8,2.0,4.0
1969-70,24.0,KEN,ABA,SF,82.0,,18.5,3.2,8.0,0.399,0.1,0.5,0.216,3.1,7.5,0.41,0.405,1.6,2.5,0.657,1.2,1.8,3.1,1.7,,1.6,3.0,8.1
1970-71,25.0,TOT,ABA,SF,69.0,,18.0,3.1,8.1,0.381,0.2,0.8,0.263,2.9,7.3,0.394,0.394,1.6,2.3,0.715,0.8,1.7,2.5,1.9,,1.7,2.3,8.1
1970-71,25.0,DNR,ABA,SF,47.0,,22.3,3.9,10.3,0.38,0.2,1.0,0.229,3.7,9.3,0.397,0.392,1.9,2.7,0.69,0.9,2.1,3.0,2.3,,2.1,2.7,10.0
1970-71,25.0,INA,ABA,SF,22.0,,8.7,1.4,3.5,0.385,0.2,0.4,0.444,1.2,3.1,0.377,0.41,1.1,1.3,0.828,0.5,0.9,1.4,1.0,,0.7,1.4,4.0
1971-72,26.0,INA,ABA,SF,7.0,,10.9,1.0,2.6,0.389,0.1,0.3,0.5,0.9,2.3,0.375,0.417,0.4,0.9,0.5,0.3,0.4,0.7,1.6,,0.9,1.4,2.6
Career,,,ABA,,206.0,,16.0,2.7,7.0,0.383,0.1,0.5,0.257,2.5,6.4,0.393,0.393,1.5,2.1,0.691,0.9,1.5,2.5,1.5,,1.4,2.5,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,KEN,ABA,,130.0,,15.2,2.5,6.6,0.384,0.1,0.4,0.24,2.4,6.2,0.393,0.391,1.4,2.1,0.681,1.0,1.5,2.5,1.4,,1.3,2.7,6.6
1 season,,DNR,ABA,,47.0,,22.3,3.9,10.3,0.38,0.2,1.0,0.229,3.7,9.3,0.397,0.392,1.9,2.7,0.69,0.9,2.1,3.0,2.3,,2.1,2.7,10.0
2 seasons,,INA,ABA,,29.0,,9.2,1.3,3.3,0.385,0.2,0.4,0.455,1.1,2.9,0.376,0.411,0.9,1.2,0.771,0.5,0.8,1.2,1.1,,0.7,1.4,3.7
