Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1961-62,23.0,PHW,NBA,PF,80.0,,31.4,4.7,11.6,0.404,2.7,3.3,0.824,9.1,1.8,4.1,12.1
1962-63,24.0,SFW,NBA,PF,64.0,,35.1,6.2,14.6,0.425,3.6,4.9,0.728,9.8,1.6,3.9,16.0
1963-64,25.0,SFW,NBA,SF,80.0,,30.3,5.5,11.9,0.458,2.6,3.7,0.702,7.7,1.9,3.6,13.5
1964-65,26.0,SFW,NBA,SF,79.0,,30.5,4.6,11.6,0.394,3.5,4.7,0.751,8.3,1.3,3.5,12.7
1965-66,27.0,SFW,NBA,PF,80.0,,29.8,5.0,11.2,0.448,2.8,3.7,0.765,9.0,1.0,3.6,12.8
1966-67,28.0,SFW,NBA,PF,72.0,,25.6,4.1,9.8,0.415,2.4,3.4,0.717,7.6,1.3,3.7,10.6
1967-68,29.0,SEA,NBA,SF,82.0,,34.8,5.8,12.3,0.469,3.0,4.2,0.707,10.2,2.4,3.9,14.5
1968-69,30.0,SEA,NBA,SF,82.0,,32.6,5.6,12.4,0.453,2.7,3.6,0.736,10.0,2.4,3.7,14.0
1969-70,31.0,SEA,NBA,SF,80.0,,28.7,4.9,10.2,0.482,2.5,3.1,0.79,8.3,2.0,4.0,12.3
1970-71,32.0,SEA,NBA,PF,79.0,,23.1,3.6,7.8,0.463,2.1,2.7,0.75,6.1,1.4,2.6,9.3
Career,,,NBA,,778.0,,30.2,5.0,11.3,0.441,2.8,3.7,0.745,8.6,1.7,3.7,12.7
,,,,,,,,,,,,,,,,,
6 seasons,,"PHW,SFW",NBA,,455.0,,30.4,5.0,11.7,0.424,2.9,3.9,0.747,8.5,1.5,3.7,12.9
4 seasons,,SEA,NBA,,323.0,,29.9,5.0,10.7,0.466,2.5,3.4,0.742,8.7,2.0,3.5,12.5
