Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,23.0,DTF,BAA,,59.0,,,3.8,15.7,0.241,1.4,1.9,0.737,,1.0,3.1,9.0
1947-48,24.0,TOT,BAA,,42.0,,,1.8,6.1,0.297,0.8,1.3,0.604,,0.1,2.1,4.4
1947-48,24.0,PRO,BAA,,14.0,,,1.6,6.5,0.242,0.8,1.1,0.688,,0.1,2.6,3.9
1947-48,24.0,STB,BAA,,28.0,,,1.9,5.9,0.327,0.8,1.3,0.568,,0.1,1.9,4.6
1948-49,25.0,STB,BAA,,55.0,,,3.7,11.8,0.317,3.3,5.2,0.646,,1.8,2.4,10.8
1949-50,26.0,STB,NBA,,68.0,,,2.4,8.4,0.279,2.3,3.0,0.766,,1.5,2.6,7.0
1950-51,27.0,WSC,NBA,,35.0,,,2.2,7.1,0.312,2.8,3.5,0.797,4.0,1.4,2.6,7.3
Career,,,TOT,,259.0,,,2.9,10.3,0.28,2.1,3.0,0.712,4.0,1.2,2.6,7.9
,,,BAA,,156.0,,,3.2,11.8,0.276,1.9,2.9,0.664,,1.0,2.6,8.4
,,,NBA,,103.0,,,2.3,8.0,0.289,2.5,3.2,0.777,4.0,1.4,2.6,7.1
,,,,,,,,,,,,,,,,,
3 seasons,,STB,BAA,,151.0,,,2.8,9.2,0.302,2.4,3.5,0.687,,1.4,2.4,8.0
1 season,,DTF,BAA,,59.0,,,3.8,15.7,0.241,1.4,1.9,0.737,,1.0,3.1,9.0
1 season,,WSC,NBA,,35.0,,,2.2,7.1,0.312,2.8,3.5,0.797,4.0,1.4,2.6,7.3
1 season,,PRO,BAA,,14.0,,,1.6,6.5,0.242,0.8,1.1,0.688,,0.1,2.6,3.9
