Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24.0,STL,NBA,SF,8.0,,6.5,1.0,3.9,0.258,,,,1.0,3.9,0.258,0.258,0.5,0.9,0.571,,,0.9,0.1,,1.4,2.5
1968-69,25.0,TOT,TOT,SF,55.0,,14.0,2.7,6.7,0.407,0.0,0.0,,2.7,6.7,0.407,0.407,2.4,3.3,0.721,1.1,,2.1,0.5,1.3,1.9,7.8
1968-69,25.0,TOT,ABA,SF,52.0,,14.3,2.8,6.8,0.413,0.0,0.0,,2.8,6.8,0.413,0.413,2.4,3.4,0.722,1.2,1.0,2.2,0.6,1.4,2.0,8.1
1968-69,25.0,MIL,NBA,SF,3.0,,9.0,0.7,3.3,0.2,,,,0.7,3.3,0.2,0.2,1.7,2.3,0.714,,,0.7,0.0,,1.3,3.0
1968-69,25.0,LAS,ABA,SF,11.0,,22.5,4.0,11.5,0.346,0.0,0.0,,4.0,11.5,0.346,0.346,4.5,5.8,0.781,1.6,1.3,2.9,0.8,1.5,3.5,12.5
1968-69,25.0,INA,ABA,SF,41.0,,12.0,2.5,5.6,0.45,0.0,0.0,,2.5,5.6,0.45,0.45,1.9,2.7,0.688,1.0,1.0,2.0,0.5,1.3,1.6,6.9
1969-70,26.0,INA,ABA,SF,52.0,,8.0,1.4,3.2,0.449,0.0,0.0,0.0,1.4,3.2,0.452,0.449,0.8,1.1,0.719,0.8,0.7,1.5,0.3,0.5,1.4,3.7
1970-71,27.0,INA,ABA,SF,2.0,,4.5,2.0,2.5,0.8,0.0,0.0,,2.0,2.5,0.8,0.8,0.0,0.0,,1.5,0.0,1.5,0.5,0.5,0.5,4.0
Career,,,TOT,,117.0,,10.6,2.0,4.9,0.415,0.0,0.0,0.0,2.0,4.9,0.415,0.415,1.5,2.1,0.717,1.0,0.8,1.8,0.4,0.9,1.6,5.5
,,,ABA,,106.0,,11.0,2.1,5.0,0.428,0.0,0.0,0.0,2.1,5.0,0.429,0.428,1.6,2.2,0.721,1.0,0.8,1.8,0.4,0.9,1.7,5.8
,,,NBA,,11.0,,7.2,0.9,3.7,0.244,,,,0.9,3.7,0.244,0.244,0.8,1.3,0.643,,,0.8,0.1,,1.4,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,INA,ABA,,95.0,,9.7,1.9,4.2,0.454,0.0,0.0,0.0,1.9,4.2,0.455,0.454,1.2,1.8,0.698,0.9,0.8,1.7,0.4,0.9,1.5,5.1
1 season,,LAS,ABA,,11.0,,22.5,4.0,11.5,0.346,0.0,0.0,,4.0,11.5,0.346,0.346,4.5,5.8,0.781,1.6,1.3,2.9,0.8,1.5,3.5,12.5
1 season,,STL,NBA,,8.0,,6.5,1.0,3.9,0.258,,,,1.0,3.9,0.258,0.258,0.5,0.9,0.571,,,0.9,0.1,,1.4,2.5
1 season,,MIL,NBA,,3.0,,9.0,0.7,3.3,0.2,,,,0.7,3.3,0.2,0.2,1.7,2.3,0.714,,,0.7,0.0,,1.3,3.0
