Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1965-66,22.0,NYK,NBA,G-F,79.0,,29.0,4.5,10.6,0.428,3.2,4.4,0.715,,,4.8,2.3,,,3.0,12.3,Dick Van Arsdale,6-5
1966-67,23.0,NYK,NBA,G-F,79.0,,36.6,5.2,11.6,0.449,4.7,6.4,0.729,,,7.0,3.1,,,3.3,15.1,Dick Van Arsdale,6-5
1967-68,24.0,NYK,NBA,G-F,78.0,,30.1,4.1,9.3,0.436,2.9,4.3,0.67,,,5.4,2.9,,,2.9,11.0,Dick Van Arsdale,6-5
1968-69,25.0,PHO,NBA,G-F,80.0,,42.4,7.7,17.3,0.442,5.7,8.1,0.705,,,6.9,4.8,,,3.1,21.0,Dick Van Arsdale,6-5
1969-70,26.0,PHO,NBA,G-F,77.0,,38.5,7.7,15.1,0.508,6.0,7.5,0.798,,,3.4,4.4,,,3.7,21.3,Dick Van Arsdale,6-5
1970-71,27.0,PHO,NBA,G-F,81.0,,39.0,7.5,16.6,0.452,6.8,8.4,0.811,,,3.9,4.1,,,3.0,21.9,Dick Van Arsdale,6-5
1971-72,28.0,PHO,NBA,G-F,82.0,,37.8,6.6,14.4,0.463,6.5,7.6,0.845,,,4.1,3.6,,,2.8,19.7,Dick Van Arsdale,6-5
1972-73,29.0,PHO,NBA,G-F,81.0,,36.8,6.6,13.8,0.476,5.3,6.1,0.859,,,4.0,3.3,,,2.7,18.4,Dick Van Arsdale,6-5
1973-74,30.0,PHO,NBA,G-F,78.0,,36.3,6.6,13.2,0.5,4.6,5.4,0.853,0.8,2.0,2.8,4.2,1.2,0.2,3.1,17.8,Dick Van Arsdale,6-5
1974-75,31.0,PHO,NBA,G-F,70.0,,34.6,6.0,12.8,0.47,4.0,4.8,0.832,0.7,2.0,2.7,2.8,1.2,0.2,2.5,16.1,Dick Van Arsdale,6-5
1975-76,32.0,PHO,NBA,G-F,58.0,,32.2,4.8,9.8,0.484,3.4,4.1,0.83,0.7,1.7,2.4,2.4,0.9,0.2,1.9,12.9,Dick Van Arsdale,6-5
1976-77,33.0,PHO,NBA,G-F,78.0,,19.7,2.9,6.4,0.456,1.9,2.1,0.873,0.4,1.1,1.5,1.5,0.4,0.1,1.2,7.7,Dick Van Arsdale,6-5
