Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,23.0,BLB,BAA,PF,60.0,,,3.7,10.7,0.348,4.1,5.2,0.79,,1.7,3.4,11.5
1949-50,24.0,BLB,NBA,PF,66.0,,,3.0,9.9,0.304,3.0,4.0,0.757,,2.2,3.9,9.0
1950-51,25.0,BLB,NBA,PF,64.0,,,2.6,7.3,0.356,2.6,3.5,0.744,7.1,2.1,3.2,7.8
1951-52,26.0,PHW,NBA,PF,63.0,,17.9,1.5,3.8,0.404,1.0,1.4,0.674,3.7,1.4,3.1,4.0
Career,,,TOT,,253.0,,17.9,2.7,7.9,0.342,2.6,3.5,0.757,5.4,1.9,3.4,8.1
,,,NBA,,193.0,,17.9,2.4,7.0,0.339,2.2,3.0,0.739,5.4,1.9,3.4,7.0
,,,BAA,,60.0,,,3.7,10.7,0.348,4.1,5.2,0.79,,1.7,3.4,11.5
,,,,,,,,,,,,,,,,,
3 seasons,,BLB,BAA,,190.0,,,3.1,9.3,0.334,3.2,4.2,0.766,7.1,2.0,3.5,9.4
1 season,,PHW,NBA,,63.0,,17.9,1.5,3.8,0.404,1.0,1.4,0.674,3.7,1.4,3.1,4.0
