Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,20.0,ORL,NBA,C,47.0,1.0,16.3,2.5,5.2,0.481,0.4,1.5,0.3,2.0,3.7,0.555,0.525,0.8,1.3,0.587,1.4,3.6,5.0,0.8,0.3,1.4,0.9,2.2,6.2
2019-20,21.0,ORL,NBA,C,62.0,0.0,14.2,2.1,4.6,0.462,0.6,1.7,0.346,1.5,2.9,0.531,0.526,0.5,0.7,0.674,1.6,3.3,4.9,0.7,0.4,1.4,0.7,1.9,5.4
2020-21,22.0,ORL,NBA,C,46.0,5.0,15.8,3.1,6.5,0.472,0.8,2.6,0.322,2.3,4.0,0.568,0.535,1.0,1.4,0.682,1.7,4.1,5.8,0.8,0.3,1.3,0.8,1.9,8.0
2021-22,23.0,ORL,NBA,C,71.0,69.0,25.7,4.2,8.7,0.48,1.5,4.0,0.381,2.7,4.7,0.563,0.566,0.8,1.0,0.781,2.1,6.0,8.1,1.2,0.5,1.7,1.1,2.6,10.6
2022-23,24.0,TOT,NBA,C,47.0,7.0,16.2,2.5,5.1,0.487,1.0,2.6,0.39,1.4,2.4,0.591,0.588,0.9,1.3,0.661,1.2,3.5,4.7,1.0,0.3,0.9,0.6,2.2,6.8
2022-23,24.0,ORL,NBA,C,40.0,6.0,17.0,2.7,5.4,0.495,1.1,2.7,0.398,1.6,2.7,0.594,0.596,0.9,1.3,0.686,1.2,3.4,4.6,1.1,0.3,1.0,0.6,2.2,7.3
2022-23,24.0,LAL,NBA,C,7.0,1.0,11.6,1.4,3.4,0.417,0.7,2.1,0.333,0.7,1.3,0.556,0.521,0.9,1.6,0.545,1.3,4.0,5.3,0.6,0.1,0.6,1.1,2.4,4.4
Career,,,NBA,,273.0,82.0,18.2,2.9,6.2,0.477,0.9,2.6,0.359,2.0,3.6,0.56,0.551,0.8,1.1,0.681,1.6,4.2,5.8,0.9,0.4,1.3,0.8,2.2,7.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,ORL,NBA,,266.0,81.0,18.3,3.0,6.2,0.477,0.9,2.6,0.36,2.1,3.7,0.56,0.551,0.8,1.1,0.686,1.6,4.2,5.8,0.9,0.4,1.4,0.8,2.2,7.7
1 season,,LAL,NBA,,7.0,1.0,11.6,1.4,3.4,0.417,0.7,2.1,0.333,0.7,1.3,0.556,0.521,0.9,1.6,0.545,1.3,4.0,5.3,0.6,0.1,0.6,1.1,2.4,4.4
