Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22.0,KCK,NBA,SF,31.0,,5.3,0.5,1.5,0.34,0.8,1.1,0.727,0.3,0.6,0.9,0.3,0.1,0.0,,0.6,1.8
1976-77,23.0,KCK,NBA,SF,29.0,,5.6,1.2,2.4,0.5,0.5,0.6,0.882,0.3,0.7,0.9,0.3,0.1,0.0,,0.6,2.9
1977-78,24.0,TOT,NBA,SF,5.0,,4.8,0.8,2.6,0.308,0.0,0.0,,0.6,1.2,1.8,0.0,0.0,0.0,0.0,0.6,1.6
1977-78,24.0,KCK,NBA,SF,1.0,,7.0,1.0,1.0,1.0,0.0,0.0,,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0
1977-78,24.0,BOS,NBA,SF,4.0,,4.3,0.8,3.0,0.25,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.3,1.5
1978-79,25.0,SDC,NBA,SF,29.0,,14.2,1.2,3.1,0.4,0.4,0.7,0.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9
Career,,,NBA,,94.0,,8.1,1.0,2.3,0.414,0.6,0.8,0.732,0.4,0.8,1.2,0.4,0.2,0.0,0.5,0.8,2.5
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,KCK,NBA,,61.0,,5.4,0.9,1.9,0.441,0.6,0.8,0.78,0.3,0.7,1.0,0.3,0.1,0.0,0.0,0.6,2.3
1 season,,SDC,NBA,,29.0,,14.2,1.2,3.1,0.4,0.4,0.7,0.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9
1 season,,BOS,NBA,,4.0,,4.3,0.8,3.0,0.25,0.0,0.0,,0.3,0.8,1.0,0.0,0.0,0.0,0.0,0.3,1.5
