Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23.0,DET,NBA,SG,16.0,,5.8,1.4,3.2,0.451,,,,1.4,3.2,0.451,0.451,0.7,0.9,0.733,,,0.9,0.8,,0.8,3.6
1968-69,24.0,KEN,ABA,SG,9.0,,9.1,1.0,4.4,0.225,0.0,0.0,,1.0,4.4,0.225,0.225,1.9,2.3,0.81,0.6,0.4,1.0,1.3,1.7,2.3,3.9
1969-70,25.0,DET,NBA,SG,25.0,,5.2,1.1,2.5,0.452,,,,1.1,2.5,0.452,0.452,1.1,1.5,0.711,,,0.4,0.7,,0.9,3.3
1970-71,26.0,BUF,NBA,SG,30.0,,7.1,1.9,4.0,0.475,,,,1.9,4.0,0.475,0.475,0.7,0.8,0.833,,,1.0,0.8,,0.8,4.5
Career,,,TOT,,80.0,,6.5,1.5,3.4,0.429,0.0,0.0,,1.5,3.4,0.429,0.429,0.9,1.2,0.765,0.6,0.4,0.8,0.8,1.7,1.0,3.9
,,,NBA,,71.0,,6.1,1.5,3.3,0.464,,,,1.5,3.3,0.464,0.464,0.8,1.1,0.753,,,0.8,0.8,,0.8,3.9
,,,ABA,,9.0,,9.1,1.0,4.4,0.225,0.0,0.0,,1.0,4.4,0.225,0.225,1.9,2.3,0.81,0.6,0.4,1.0,1.3,1.7,2.3,3.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,DET,NBA,,41.0,,5.4,1.2,2.8,0.451,,,,1.2,2.8,0.451,0.451,0.9,1.3,0.717,,,0.6,0.7,,0.9,3.4
1 season,,BUF,NBA,,30.0,,7.1,1.9,4.0,0.475,,,,1.9,4.0,0.475,0.475,0.7,0.8,0.833,,,1.0,0.8,,0.8,4.5
1 season,,KEN,ABA,,9.0,,9.1,1.0,4.4,0.225,0.0,0.0,,1.0,4.4,0.225,0.225,1.9,2.3,0.81,0.6,0.4,1.0,1.3,1.7,2.3,3.9
