Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,24.0,MNL,NBA,C,72.0,,17.4,3.3,7.8,0.423,1.6,2.3,0.695,5.8,0.7,2.9,8.2
1954-55,25.0,MNL,NBA,C,70.0,,33.7,7.4,17.0,0.435,3.9,5.7,0.686,11.5,1.4,3.7,18.7
1955-56,26.0,MNL,NBA,C,71.0,,35.5,8.4,19.3,0.434,4.8,6.6,0.721,14.0,2.3,3.5,21.5
1956-57,27.0,MNL,NBA,C,69.0,,36.1,8.3,19.5,0.426,4.1,5.8,0.717,13.5,2.0,3.6,20.8
1957-58,28.0,CIN,NBA,C,71.0,,36.5,9.6,21.7,0.441,4.2,5.7,0.743,12.1,1.9,3.3,23.4
1958-59,29.0,STL,NBA,C,70.0,,22.8,5.7,12.6,0.454,2.9,3.6,0.82,8.6,1.3,3.1,14.4
1959-60,30.0,STL,NBA,C,68.0,,28.7,8.1,17.3,0.468,4.6,5.7,0.821,10.6,1.9,3.6,20.8
1960-61,31.0,STL,NBA,C,67.0,,31.5,8.9,19.7,0.453,4.1,4.9,0.83,10.1,2.6,3.7,22.0
1961-62,32.0,STL,NBA,C,40.0,,29.8,8.5,18.1,0.471,3.9,4.7,0.829,8.8,1.7,3.4,20.9
1962-63,33.0,BOS,NBA,C,61.0,,9.3,2.6,6.2,0.428,1.2,1.6,0.745,2.9,0.4,2.2,6.5
1963-64,34.0,BOS,NBA,C,45.0,,9.7,2.8,6.8,0.42,1.0,1.3,0.789,2.8,0.5,2.2,6.7
Career,,,NBA,,704.0,,27.1,6.8,15.3,0.443,3.4,4.5,0.757,9.5,1.6,3.3,17.0
,,,,,,,,,,,,,,,,,
4 seasons,,MNL,NBA,,282.0,,30.6,6.8,15.9,0.43,3.6,5.1,0.707,11.2,1.6,3.4,17.2
4 seasons,,STL,NBA,,245.0,,28.0,7.7,16.8,0.461,3.9,4.7,0.825,9.6,1.9,3.5,19.3
2 seasons,,BOS,NBA,,106.0,,9.5,2.7,6.4,0.424,1.1,1.5,0.761,2.9,0.5,2.2,6.6
1 season,,CIN,NBA,,71.0,,36.5,9.6,21.7,0.441,4.2,5.7,0.743,12.1,1.9,3.3,23.4
