Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1969-70,21.0,PHO,NBA,C,82,,17.0,3.1,6.7,.470,1.9,3.0,.640,,,5.5,1.0,,,2.7,8.2,Neal Walk,6-10
1970-71,22.0,PHO,NBA,C,82,,24.8,5.2,11.5,.451,2.5,3.3,.765,,,8.2,1.4,,,3.4,12.9,Neal Walk,6-10
1971-72,23.0,PHO,NBA,C,81,,26.4,6.2,13.0,.479,3.2,4.2,.744,,,8.2,1.9,,,3.6,15.7,Neal Walk,6-10
1972-73,24.0,PHO,NBA,C,81,,38.4,8.4,18.0,.466,3.4,4.4,.786,,,12.4,3.5,,,4.0,20.2,Neal Walk,6-10
1973-74,25.0,PHO,NBA,C,82,,31.1,7.0,15.2,.460,2.9,3.6,.791,2.9,7.3,10.2,4.0,0.9,0.7,3.1,16.8,Neal Walk,6-10
1974-75,26.0,TOT,NBA,C,67,,16.8,3.0,7.1,.419,1.3,1.6,.819,1.4,3.7,5.1,1.8,0.6,0.3,2.6,7.2,Neal Walk,6-10
1975-76,27.0,NYK,NBA,C,82,,16.3,3.2,7.4,.432,1.0,1.2,.798,1.2,3.5,4.7,1.5,0.3,0.3,2.5,7.4,Neal Walk,6-10
1976-77,28.0,NYK,NBA,C,11,,12.3,2.5,5.2,.491,0.5,0.6,.857,0.5,2.0,2.5,0.5,0.4,0.3,2.0,5.6,Neal Walk,6-10
