Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1954-55,22.0,MLH,NBA,F-C,72,,36.9,7.2,17.8,0.407,5.9,7.9,0.751,13.8,3.2,3.6,20.4,Bob Pettit,6-9
1955-56,23.0,STL,NBA,F-C,72,,38.8,9.0,20.9,0.429,7.7,10.5,0.736,16.2,2.6,2.8,25.7,Bob Pettit,6-9
1956-57,24.0,STL,NBA,F-C,71,,35.1,8.6,20.8,0.415,7.5,9.6,0.773,14.6,1.9,2.5,24.7,Bob Pettit,6-9
1957-58,25.0,STL,NBA,F-C,70,,36.1,8.3,20.3,0.41,8.0,10.6,0.749,17.4,2.2,3.2,24.6,Bob Pettit,6-9
1958-59,26.0,STL,NBA,F-C,72,,39.9,10.0,22.8,0.438,9.3,12.2,0.759,16.4,3.1,2.8,29.2,Bob Pettit,6-9
1959-60,27.0,STL,NBA,F-C,72,,40.2,9.3,21.2,0.438,7.6,10.0,0.753,17.0,3.6,2.8,26.1,Bob Pettit,6-9
1960-61,28.0,STL,NBA,F-C,76,,39.8,10.1,22.6,0.447,7.7,10.6,0.724,20.3,3.4,2.9,27.9,Bob Pettit,6-9
1961-62,29.0,STL,NBA,F-C,78,,42.1,11.1,24.7,0.45,8.9,11.6,0.771,18.7,3.7,3.8,31.1,Bob Pettit,6-9
1962-63,30.0,STL,NBA,F-C,79,,39.1,9.8,22.1,0.446,8.7,11.2,0.774,15.1,3.1,3.6,28.4,Bob Pettit,6-9
1963-64,31.0,STL,NBA,F-C,80,,41.2,9.9,21.4,0.463,7.6,9.6,0.789,15.3,3.2,3.8,27.4,Bob Pettit,6-9
1964-65,32.0,STL,NBA,F-C,50,,35.1,7.9,18.5,0.429,6.6,8.1,0.82,12.4,2.6,3.3,22.5,Bob Pettit,6-9
