Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,23.0,CHI,NBA,PG,24.0,0.0,12.7,0.7,1.7,0.415,0.4,1.3,0.29,0.3,0.4,0.8,0.524,0.2,0.3,0.833,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.0
2018-19,24.0,CHI,NBA,PG,81.0,32.0,24.2,2.3,5.2,0.447,1.0,2.7,0.373,1.3,2.5,0.527,0.544,1.1,1.3,0.873,0.3,2.4,2.7,3.3,0.8,0.0,0.8,2.1,6.7
2019-20,25.0,CHI,NBA,PG,58.0,4.0,16.0,1.6,3.8,0.409,0.9,2.4,0.391,0.6,1.4,0.439,0.532,0.5,0.7,0.711,0.3,1.6,1.9,1.7,0.5,0.1,0.6,1.7,4.5
2020-21,26.0,CHI,NBA,PG,44.0,0.0,10.2,1.1,2.7,0.419,0.6,1.5,0.373,0.5,1.1,0.48,0.526,0.3,0.5,0.65,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1
2021-22,27.0,NYK,NBA,PG,10.0,0.0,7.6,0.6,1.2,0.5,0.4,0.9,0.444,0.2,0.3,0.667,0.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6
2022-23,28.0,TOT,NBA,PG,19.0,3.0,8.2,0.4,1.7,0.242,0.4,1.1,0.333,0.1,0.6,0.083,0.348,0.0,0.0,,0.0,0.7,0.7,1.2,0.3,0.0,0.3,0.8,1.2
2022-23,28.0,NYK,NBA,PG,11.0,0.0,2.4,0.1,0.5,0.2,0.1,0.3,0.333,0.0,0.2,0.0,0.3,0.0,0.0,,0.0,0.4,0.4,0.2,0.2,0.0,0.1,0.3,0.3
2022-23,28.0,POR,NBA,PG,8.0,3.0,16.1,0.9,3.5,0.25,0.8,2.3,0.333,0.1,1.3,0.1,0.357,0.0,0.0,,0.0,1.1,1.1,2.5,0.4,0.0,0.6,1.6,2.5
Career,,,NBA,,236.0,39.0,16.4,1.5,3.6,0.424,0.8,2.0,0.373,0.8,1.5,0.494,0.532,0.6,0.7,0.807,0.2,1.6,1.9,2.0,0.5,0.0,0.6,1.5,4.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHI,NBA,,207.0,36.0,17.6,1.7,3.8,0.431,0.8,2.2,0.373,0.8,1.7,0.507,0.537,0.6,0.8,0.807,0.3,1.8,2.0,2.2,0.6,0.0,0.6,1.6,4.8
2 seasons,,NYK,NBA,,21.0,0.0,4.9,0.3,0.8,0.412,0.2,0.6,0.417,0.1,0.2,0.4,0.559,0.0,0.0,,0.0,0.6,0.6,0.3,0.1,0.0,0.2,0.4,0.9
1 season,,POR,NBA,,8.0,3.0,16.1,0.9,3.5,0.25,0.8,2.3,0.333,0.1,1.3,0.1,0.357,0.0,0.0,,0.0,1.1,1.1,2.5,0.4,0.0,0.6,1.6,2.5
